rank,ticker,avg_return_3m,median_return,std_return,win_rate,sample_count,min_return,max_return,data_start_date,data_end_date
81,JNJ,0.004363570829487218,0.019128253683447838,0.13786482585673293,0.6033325043521512,4021,-0.9489033818244934,0.29017454385757446,2010-01-04,2026-04-06
82,HD,0.003867647997919809,0.03878297284245491,0.2230841635649382,0.6386703882263385,3941,-0.955463707447052,0.6210976243019104,2010-01-04,2026-04-06
83,MS,0.0021619514576191666,0.034737858921289444,0.2414685339616508,0.5915241256063314,3917,-0.9998984336853027,0.7037037014961243,2010-01-04,2026-04-06
84,HON,-0.0028347518655167147,0.029914529994130135,0.20619049876769563,0.6413578647317958,3859,-0.9990876317024231,0.3955324590206146,2010-01-04,2026-04-06
85,ABBV,-0.0036607593735278137,0.023435819894075394,0.2296921202781297,0.5796694730277518,3207,-0.9569970965385437,0.5080620050430298,2012-12-10,2026-04-06
86,MCD,-0.0036731500280586097,0.02209475263953209,0.19241898138062286,0.6121365360303413,3955,-0.9802961349487305,2.204301118850708,2010-01-04,2026-04-06
87,TXN,-0.005870634850084608,0.032024113461375237,0.2199731150988423,0.6206095041322314,3872,-0.9599024653434753,0.5044174790382385,2010-01-04,2026-04-06
88,CVX,-0.008644300671258898,0.007701069349423051,0.20042645197424938,0.5417917917917918,3996,-0.9999052286148071,3.3717734813690186,2010-01-04,2026-04-06
89,GS,-0.010108755749287752,0.01826811023056507,0.2526108034779172,0.5673614641586172,3934,-0.9894543886184692,4.762932300567627,2010-01-04,2026-04-06
90,XOM,-0.01243356053085502,-0.0016562556847929955,0.19591698331251084,0.4932330827067669,3990,-0.9999062418937683,0.5706964135169983,2010-01-04,2026-04-06
91,CAT,-0.016447713317026637,0.01904761977493763,0.2641053676707015,0.5473951715374841,3935,-0.9717246294021606,0.8654173612594604,2010-01-04,2026-04-06
92,MMM,-0.01758098462409949,0.017310963943600655,0.19362873560799043,0.5778170793329964,3958,-0.9687469005584717,0.33747878670692444,2010-01-04,2026-04-06
93,CSCO,-0.02015368898858055,0.009722797200083733,0.21203176761077544,0.5403899721448467,3949,-0.9617962837219238,0.3734796941280365,2010-01-04,2026-04-06
94,RTX,-0.023950863022321696,0.023533787578344345,0.2291448302023567,0.6119287374128582,3873,-0.9983203411102295,0.5262415409088135,2010-01-04,2026-04-06
95,GILD,-0.03840350974202984,0.0037921962793916464,0.2757508737003695,0.5157867494824017,3864,-0.9666001796722412,0.3809402287006378,2010-01-04,2026-04-06
96,IBM,-0.04164522222108452,0.008784640580415726,0.23644704403188233,0.5368043087971275,3899,-0.956543505191803,0.3004117012023926,2010-01-04,2026-04-06
97,PG,-0.0452914706608063,0.007063421420753002,0.2446069391373333,0.5434399395618232,3971,-0.9972894191741943,0.23636525869369507,2010-01-04,2026-04-06
98,ABT,-0.06042503440834405,0.022022894583642483,0.28663034142308363,0.584741288278775,3788,-0.9605920910835266,0.2470216155052185,2010-01-04,2026-04-06
99,COP,-0.06581776602498914,0.0024795972276479006,0.2964225612797824,0.5060430898581187,3806,-0.9778730273246765,0.7474294900894165,2010-01-04,2026-04-06
100,TJX,-0.08555052119135205,0.031206886284053326,0.34445362883031305,0.6365149833518313,3604,-0.9679961204528809,0.32697728276252747,2010-01-04,2026-04-06
101,UNP,-0.17298939725212376,0.004730067914351821,0.4052747519525169,0.5235328297501453,3442,-0.9667375087738037,0.510947048664093,2010-01-04,2026-04-06
